date,Dist_noconnection,USAdistcumsum0,USAdistcumsum1,USAdistcumsum2,USAdistcumsum3,USAdistcumsum5
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01jan2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
01feb2000,100,20.261,24.75,24.75,24.75,24.75
