date,Dist_noconnection,USAdistcumsum0,USAdistcumsum1,USAdistcumsum2,USAdistcumsum3,USAdistcumsum5,CHNdistcumsum0,CHNdistcumsum1,CHNdistcumsum2,CHNdistcumsum3,CHNdistcumsum5,EAdistcumsum0,EAdistcumsum1,EAdistcumsum2,EAdistcumsum3,EAdistcumsum5
01jan2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01feb2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01mar2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01apr2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01may2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01jun2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01jul2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01aug2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01sep2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01oct2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01nov2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01dec2000,100,17.252579,21.128763,21.128763,21.128763,21.128763,5.6184316,5.6184316,5.6184316,5.6184316,5.6184316,15.743576,15.743576,15.743576,15.743576,15.743576
01jan2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01feb2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01mar2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01apr2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01may2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01jun2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01jul2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01aug2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01sep2001,100,17.006523,39.314041,39.314041,39.314041,39.314041,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01oct2001,100,17.006523,39.314041,39.314041,39.314041,39.314041,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01nov2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,5.9422741,5.9422741,5.9422741,5.9422741,15.71459,15.71459,15.71459,15.71459,15.71459
01dec2001,100,17.006523,20.809429,20.809429,20.809429,20.809429,5.9422741,6.7339783,6.7339783,6.7339783,6.7339783,15.71459,15.71459,15.71459,15.71459,15.71459
01jan2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,7.1528296,7.1528296,7.1528296,7.1528296,15.491418,15.491418,15.491418,15.491418,15.491418
01feb2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,7.1528296,7.1528296,7.1528296,7.1528296,15.491418,15.491418,15.491418,15.491418,15.491418
01mar2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,12.548628,14.928936,14.928936,14.928936,15.491418,15.491418,15.491418,15.491418,15.491418
01apr2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,12.548628,14.928936,14.928936,14.928936,15.491418,15.491418,15.491418,15.491418,15.491418
01may2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,12.548628,14.928936,14.928936,14.928936,15.491418,15.491418,15.491418,15.491418,15.491418
01jun2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,14.031328,14.928936,14.928936,14.928936,15.491418,15.491418,15.491418,15.491418,15.491418
01jul2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,14.031328,14.928936,14.928936,14.928936,15.491418,15.491418,15.491418,15.491418,15.491418
01aug2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,14.031328,14.928936,14.928936,14.928936,15.491418,15.491418,15.491418,15.491418,15.491418
01sep2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,14.031328,14.928936,14.928936,14.928936,15.491418,15.491418,15.491418,15.491418,15.491418
01oct2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,14.502897,14.928935,14.928935,14.928935,15.491418,15.491418,15.491418,15.491418,15.491418
01nov2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,14.502897,14.928935,14.928935,14.928935,15.491418,15.491418,15.491418,15.491418,15.491418
01dec2002,100,16.877186,20.628017,20.628017,20.628017,20.628017,6.332778,14.502897,14.928935,14.928935,14.928935,15.491418,15.491418,15.491418,15.491418,15.491418
01jan2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,14.878431,15.312146,15.312146,15.312146,15.134034,15.134034,15.134034,15.134034,15.134034
01feb2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,14.878431,16.811783,16.811783,16.811783,15.134034,15.134034,15.134034,15.134034,15.134034
01mar2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,14.878431,16.811783,16.811783,16.811783,15.134034,15.134034,15.134034,15.134034,15.134034
01apr2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,14.878431,16.811783,16.811783,16.811783,15.134034,15.134034,15.134034,15.134034,15.134034
01may2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,14.878431,16.811783,16.811783,16.811783,15.134034,15.134034,15.134034,15.134034,15.134034
01jun2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,14.878431,16.811783,16.811783,16.811783,15.134034,15.134034,15.134034,15.134034,15.134034
01jul2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,14.878431,16.811783,16.811783,16.811783,15.134034,15.134034,15.134034,15.134034,15.134034
01aug2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,15.312147,16.811783,16.811783,16.811783,15.134034,15.134034,15.134034,15.134034,15.134034
01sep2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,15.312147,16.811783,16.811783,16.811783,15.134034,15.134034,15.134034,15.134034,15.134034
01oct2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,15.312147,16.811783,16.811783,16.811783,15.134034,15.134034,15.134034,15.134034,15.134034
01nov2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,15.312147,17.086443,17.086443,17.086443,15.134034,15.134034,15.134034,15.134034,15.134034
01dec2003,100,16.806709,20.492699,20.492699,20.492699,20.492699,6.7557416,16.811783,17.086443,17.086443,17.086443,15.134034,15.134034,15.134034,15.134034,15.134034
01jan2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01feb2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01mar2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01apr2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01may2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01jun2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01jul2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01aug2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01sep2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01oct2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01nov2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01dec2004,100,16.668371,20.307169,20.307169,20.307169,20.307169,7.1044965,17.074043,17.362423,17.362423,17.362423,14.782579,14.782579,14.782579,14.782579,14.782579
01jan2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01feb2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01mar2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01apr2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01may2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01jun2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01jul2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01aug2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01sep2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01oct2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.614544,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01nov2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.118034,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01dec2005,100,16.553679,20.13545,20.13545,20.13545,20.13545,7.597887,16.118034,17.775955,17.775955,17.775955,14.447287,14.447287,14.447287,14.447287,14.447287
01jan2006,100,16.217312,19.764467,19.764467,19.764467,19.764467,8.158988,16.523052,18.19614,18.19614,18.19614,14.239614,14.239614,14.239614,14.239614,14.239614
01feb2006,100,16.217312,19.764467,19.764467,19.764467,19.764467,8.158988,16.523052,18.19614,18.19614,18.19614,14.239614,14.239614,14.239614,14.239614,14.239614
01mar2006,100,16.217312,19.764467,19.764467,19.764467,19.764467,8.158988,16.523052,18.19614,18.19614,18.19614,14.239614,14.239614,14.239614,14.239614,14.239614
01apr2006,100,16.217312,19.764467,19.764467,19.764467,19.764467,8.158988,16.523052,18.19614,18.19614,18.19614,14.239614,14.239614,14.239614,14.239614,14.239614
01may2006,100,16.217312,19.764467,19.764467,19.764467,19.764467,8.158988,16.523052,18.19614,18.19614,18.19614,14.239614,14.239614,14.239614,14.239614,14.239614
01jun2006,100,16.217312,19.764467,19.764467,19.764467,19.764467,8.158988,16.523052,18.19614,18.19614,18.19614,14.239614,14.239614,14.239614,14.239614,14.239614
01jul2006,100,16.217312,19.764467,19.764467,19.764467,19.764467,8.158988,16.523052,18.19614,18.19614,18.19614,14.239614,14.239614,14.239614,14.239614,14.239614
01aug2006,100,16.217312,19.764467,19.764467,19.764467,19.764467,8.158988,16.523052,18.19614,18.19614,18.19614,14.239614,14.239614,14.239614,14.239614,14.239614
01sep2006,100,16.217312,19.764467,19.764467,19.764467,19.764467,8.158988,16.523052,18.19614,18.19614,18.19614,14.239614,14.239614,14.239614,14.239614,14.239614
