deal_ID,deal_type,framework,reciprocal_deal,collateral,ISO_source,source_country,ISO_recipient,recipient_country,start_date,end_date,existence_previous_deal,deal_action,previous_deal,currency_of_deal,source_currency,source_currency_deal,deal_currency_amount,USD_amount,unlimited,initiative,note
1,reciprocal,0,4,swap,CAN,Canada,MEX,Mexico,26/04/1994,31/12/9999,0,NA,,CAD,CAD,0,1,NA,0,NAFA,no
2,unidirectional,0,,swap,USA,USA,CAN,Canada,26/04/1994,31/12/9999,0,NA,,USD,USD,0,2,2,0,NAFA,no
3,unidirectional,0,,swap,USA,USA,MEX,Mexico,26/04/1994,31/12/9999,0,NA,,USD,USD,0,3,3,0,NAFA,no
4,reciprocal,0,1,swap,MEX,Mexico,CAN,Canada,26/04/1994,31/12/9999,0,NA,,CAD,MXN,0,1,NA,0,NAFA,no
5,unidirectional,0,,swap,JPN,Japan,KOR,South Korea,01/06/1999,23/02/2006,0,NA,,USD,JPY,0,5,5,0,Miyazawa,no
6,unidirectional,0,,swap,JPN,Japan,MYS,Malaysia,06/06/1999,24/03/2010,0,NA,,USD,JPY,0,2.5,2.5,0,Miyazawa,yes
7,pooled fund,1,,swap,IDN,Indonesia,MYS,Malaysia,05/08/1978,17/11/2000,0,NA,,USD,IDR,0,0.08,0.08,0,ASEAN,no
8,pooled fund,1,,swap,IDN,Indonesia,PHL,Philippines,05/08/1978,17/11/2000,0,NA,,USD,IDR,0,0.08,0.08,0,ASEAN,no
9,pooled fund,1,,swap,IDN,Indonesia,SGP,Singapore,05/08/1978,17/11/2000,0,NA,,USD,IDR,0,0.08,0.08,0,ASEAN,no
10,pooled fund,1,,swap,IDN,Indonesia,THA,Thailand,05/08/1978,17/11/2000,0,NA,,USD,IDR,0,0.08,0.08,0,ASEAN,no
11,pooled fund,1,,swap,MYS,Malaysia,IDN,Indonesia,05/08/1978,17/11/2000,0,NA,,USD,MYR,0,0.08,0.08,0,ASEAN,no
12,pooled fund,1,,swap,MYS,Malaysia,PHL,Philippines,05/08/1978,17/11/2000,0,NA,,USD,MYR,0,0.08,0.08,0,ASEAN,no
13,pooled fund,1,,swap,MYS,Malaysia,SGP,Singapore,05/08/1978,17/11/2000,0,NA,,USD,MYR,0,0.08,0.08,0,ASEAN,no
14,pooled fund,1,,swap,MYS,Malaysia,THA,Thailand,05/08/1978,17/11/2000,0,NA,,USD,MYR,0,0.08,0.08,0,ASEAN,no
15,pooled fund,1,,swap,PHL,Philippines,IDN,Indonesia,05/08/1978,17/11/2000,0,NA,,USD,PHP,0,0.08,0.08,0,ASEAN,no
16,pooled fund,1,,swap,PHL,Philippines,MYS,Malaysia,05/08/1978,17/11/2000,0,NA,,USD,PHP,0,0.08,0.08,0,ASEAN,no
17,pooled fund,1,,swap,PHL,Philippines,SGP,Singapore,05/08/1978,17/11/2000,0,NA,,USD,PHP,0,0.08,0.08,0,ASEAN,no
18,pooled fund,1,,swap,PHL,Philippines,THA,Thailand,05/08/1978,17/11/2000,0,NA,,USD,PHP,0,0.08,0.08,0,ASEAN,no
19,pooled fund,1,,swap,SGP,Singapore,IDN,Indonesia,05/08/1978,17/11/2000,0,NA,,USD,SGD,0,0.08,0.08,0,ASEAN,no
20,pooled fund,1,,swap,SGP,Singapore,MYS,Malaysia,05/08/1978,17/11/2000,0,NA,,USD,SGD,0,0.08,0.08,0,ASEAN,no
