country_ID,ISO,Year,Month,dist_USA,ceiling_USA,reachable_nodes,EA_inter_USA,UK_inter_USA,CHE_inter_USA,JPN_inter_USA,USA_inter_USA,CHN_inter_EA,incloseness,betweenness
1,ALB,2000,1,,,0,0,0,0,0,0,0,0,0
2,AND,2000,1,,,0,0,0,0,0,0,0,0,0
3,ARG,2000,1,,,0,0,0,0,0,0,0,0,0
4,ARM,2000,1,,,0,0,0,0,0,0,0,0,0
5,AUS,2000,1,,,0,0,0,0,0,0,0,0,0
6,BLR,2000,1,,,0,0,0,0,0,0,0,0,0
7,BTN,2000,1,,,0,0,0,0,0,0,0,0,0
8,BRA,2000,1,,,0,0,0,0,0,0,0,0,0
9,BRN,2000,1,,,0,0,0,0,0,0,0,0,0
10,BGR,2000,1,,,0,0,0,0,0,0,0,0,0
11,KHM,2000,1,,,0,0,0,0,0,0,0,0,0
12,CAN,2000,1,1,100,2,0,0,0,0,1,0,0.000375305,0
13,CHL,2000,1,,,0,0,0,0,0,0,0,0,0
14,CHN,2000,1,,,0,0,0,0,0,0,0,0,0
15,HRV,2000,1,,,0,0,0,0,0,0,0,0,0
16,DNK,2000,1,,,0,0,0,0,0,0,0,0,0
17,EA,2000,1,,,0,0,0,0,0,0,0,0,0
18,EGY,2000,1,,,0,0,0,0,0,0,0,0,0
19,EST,2000,1,,,0,0,0,0,0,0,0,0,0
20,HUN,2000,1,,,0,0,0,0,0,0,0,0,0
21,ISL,2000,1,,,0,0,0,0,0,0,0,0,0
22,IND,2000,1,,,0,0,0,0,0,0,0,0,0
23,IDN,2000,1,,,0,0,0,0,0,0,0,0,0
24,JPN,2000,1,,,0,0,0,0,0,0,0,0,0
25,KAZ,2000,1,,,0,0,0,0,0,0,0,0,0
26,LAO,2000,1,,,0,0,0,0,0,0,0,0,0
27,LVA,2000,1,,,0,0,0,0,0,0,0,0,0
28,MAC,2000,1,,,0,0,0,0,0,0,0,0,0
29,MYS,2000,1,,,0,0,0,0,0,0,0,0,0
30,MDV,2000,1,,,0,0,0,0,0,0,0,0,0
31,MEX,2000,1,1,100,2,0,0,0,0,1,0,0.000375305,0
32,MNG,2000,1,,,0,0,0,0,0,0,0,0,0
33,MAR,2000,1,,,0,0,0,0,0,0,0,0,0
34,MMR,2000,1,,,0,0,0,0,0,0,0,0,0
35,NZL,2000,1,,,1,0,0,0,0,0,0,0.000187652,0
36,NGA,2000,1,,,0,0,0,0,0,0,0,0,0
37,MKD,2000,1,,,0,0,0,0,0,0,0,0,0
38,NOR,2000,1,,,0,0,0,0,0,0,0,0,0
39,PAK,2000,1,,,0,0,0,0,0,0,0,0,0
40,PHL,2000,1,,,0,0,0,0,0,0,0,0,0
41,POL,2000,1,,,0,0,0,0,0,0,0,0,0
42,QAT,2000,1,,,0,0,0,0,0,0,0,0,0
43,ROU,2000,1,,,0,0,0,0,0,0,0,0,0
44,RUS,2000,1,,,0,0,0,0,0,0,0,0,0
45,SMR,2000,1,,,0,0,0,0,0,0,0,0,0
46,SRB,2000,1,,,0,0,0,0,0,0,0,0,0
47,SGP,2000,1,,,0,0,0,0,0,0,0,0,0
48,ZAF,2000,1,,,0,0,0,0,0,0,0,0,0
49,KOR,2000,1,,,0,0,0,0,0,0,0,0,0
50,LKA,2000,1,,,0,0,0,0,0,0,0,0,0
51,SUR,2000,1,,,0,0,0,0,0,0,0,0,0
52,SWE,2000,1,,,0,0,0,0,0,0,0,0,0
